domaine;code;occurrences;colonnes;sources
activite_regulee;718;80;activite.code_activite_regulee;finess_activites
activite_regulee;865;80;activite.code_activite_regulee;finess_activites
activite_regulee;049;78;activite.code_activite_regulee;finess_activites
activite_regulee;237;76;activite.code_activite_regulee;finess_activites
activite_regulee;400;76;activite.code_activite_regulee;finess_activites
activite_regulee;423;76;activite.code_activite_regulee;finess_activites
activite_regulee;585;76;activite.code_activite_regulee;finess_activites
activite_regulee;059;74;activite.code_activite_regulee;finess_activites
activite_regulee;162;74;activite.code_activite_regulee;finess_activites
activite_regulee;919;74;activite.code_activite_regulee;finess_activites
activite_regulee;023;72;activite.code_activite_regulee;finess_activites
activite_regulee;13;72;activite.code_activite_regulee;finess_activites
activite_regulee;51;72;activite.code_activite_regulee;finess_activites
activite_regulee;808;72;activite.code_activite_regulee;finess_activites
activite_regulee;325;70;activite.code_activite_regulee;finess_activites
activite_regulee;096;68;activite.code_activite_regulee;finess_activites
activite_regulee;427;68;activite.code_activite_regulee;finess_activites
activite_regulee;608;68;activite.code_activite_regulee;finess_activites
activite_regulee;731;68;activite.code_activite_regulee;finess_activites
activite_regulee;053;66;activite.code_activite_regulee;finess_activites
activite_regulee;219;66;activite.code_activite_regulee;finess_activites
activite_regulee;754;66;activite.code_activite_regulee;finess_activites
activite_regulee;A2;66;activite.code_activite_regulee;finess_activites
activite_regulee;262;64;activite.code_activite_regulee;finess_activites
activite_regulee;362;64;activite.code_activite_regulee;finess_activites
activite_regulee;171;62;activite.code_activite_regulee;finess_activites
activite_regulee;235;62;activite.code_activite_regulee;finess_activites
activite_regulee;307;62;activite.code_activite_regulee;finess_activites
activite_regulee;742;62;activite.code_activite_regulee;finess_activites
activite_regulee;798;62;activite.code_activite_regulee;finess_activites
activite_regulee;069;60;activite.code_activite_regulee;finess_activites
activite_regulee;226;60;activite.code_activite_regulee;finess_activites
activite_regulee;278;60;activite.code_activite_regulee;finess_activites
activite_regulee;448;60;activite.code_activite_regulee;finess_activites
activite_regulee;659;60;activite.code_activite_regulee;finess_activites
activite_regulee;822;60;activite.code_activite_regulee;finess_activites
activite_regulee;038;58;activite.code_activite_regulee;finess_activites
activite_regulee;155;58;activite.code_activite_regulee;finess_activites
activite_regulee;636;58;activite.code_activite_regulee;finess_activites
activite_regulee;724;58;activite.code_activite_regulee;finess_activites
activite_regulee;750;58;activite.code_activite_regulee;finess_activites
activite_regulee;873;58;activite.code_activite_regulee;finess_activites
activite_regulee;041;56;activite.code_activite_regulee;finess_activites
activite_regulee;633;56;activite.code_activite_regulee;finess_activites
activite_regulee;389;54;activite.code_activite_regulee;finess_activites
activite_regulee;420;54;activite.code_activite_regulee;finess_activites
activite_regulee;424;54;activite.code_activite_regulee;finess_activites
activite_regulee;056;52;activite.code_activite_regulee;finess_activites
activite_regulee;167;52;activite.code_activite_regulee;finess_activites
activite_regulee;553;52;activite.code_activite_regulee;finess_activites
activite_regulee;050;50;activite.code_activite_regulee;finess_activites
activite_regulee;403;50;activite.code_activite_regulee;finess_activites
activite_regulee;605;50;activite.code_activite_regulee;finess_activites
activite_regulee;082;48;activite.code_activite_regulee;finess_activites
activite_regulee;201;48;activite.code_activite_regulee;finess_activites
activite_regulee;645;48;activite.code_activite_regulee;finess_activites
activite_regulee;921;48;activite.code_activite_regulee;finess_activites
activite_regulee;145;46;activite.code_activite_regulee;finess_activites
activite_regulee;758;46;activite.code_activite_regulee;finess_activites
activite_regulee;760;46;activite.code_activite_regulee;finess_activites
activite_regulee;863;46;activite.code_activite_regulee;finess_activites
activite_regulee;871;46;activite.code_activite_regulee;finess_activites
activite_regulee;087;44;activite.code_activite_regulee;finess_activites
